t=2026-05-22T00:08:10+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-22T00:08:10+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\prakhar\\AppData\\Local/ngrok/ngrok.yml
t=2026-05-22T00:08:10+0530 lvl=info msg="open config file" path=C:\\Users\\prakhar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T00:08:10+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-22T00:08:12+0530 lvl=info msg="update available" obj=updater
t=2026-05-22T00:08:35+0530 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=9c4c64f42746
t=2026-05-22T00:08:35+0530 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: session closed"
t=2026-05-22T00:08:36+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-22T00:08:36+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-22T00:08:39+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://3161-2401-4900-9397-d8dc-55b9-ce3d-e74e-1ea8.ngrok-free.app
t=2026-05-22T00:08:41+0530 lvl=info msg=start pg=/api/tunnels id=73292a3823ba8ad5
t=2026-05-22T00:08:41+0530 lvl=info msg=end pg=/api/tunnels id=73292a3823ba8ad5 status=200 dur=509.6µs
t=2026-05-22T00:08:41+0530 lvl=info msg=start pg=/api/tunnels id=72c32838e319a97e
t=2026-05-22T00:08:41+0530 lvl=info msg=end pg=/api/tunnels id=72c32838e319a97e status=200 dur=0s
t=2026-05-22T00:12:54+0530 lvl=info msg="join connections" obj=join id=6616a8ca8e99 l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:07+0530 lvl=info msg="join connections" obj=join id=7676f3a35ff1 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:14:18+0530 lvl=info msg="join connections" obj=join id=ed95448e4dd2 l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:29+0530 lvl=info msg="join connections" obj=join id=ce7339745975 l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:41+0530 lvl=info msg="join connections" obj=join id=d062deb37936 l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:47+0530 lvl=info msg="join connections" obj=join id=3e714a5969c1 l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:47+0530 lvl=info msg="join connections" obj=join id=093f33b7a07a l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:48+0530 lvl=info msg="join connections" obj=join id=8f772b9f9304 l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:14:48+0530 lvl=info msg="join connections" obj=join id=37596d9fbdac l=[::1]:8080 r=[2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:63251
t=2026-05-22T00:18:08+0530 lvl=info msg="join connections" obj=join id=dca82a2cd7ba l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:18:08+0530 lvl=info msg="join connections" obj=join id=a628484ef0eb l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:20:05+0530 lvl=info msg="join connections" obj=join id=f63a9c222a45 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:23:34+0530 lvl=info msg="join connections" obj=join id=f24315df5563 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:23:56+0530 lvl=info msg="join connections" obj=join id=8bbb9193ef62 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:24:01+0530 lvl=info msg="join connections" obj=join id=1a92ff81caf1 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:32:52+0530 lvl=info msg="join connections" obj=join id=f64aece7e0e9 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:34:38+0530 lvl=info msg="join connections" obj=join id=6d5e6efbc62c l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:36:16+0530 lvl=info msg="join connections" obj=join id=650e3725039c l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:37:24+0530 lvl=info msg="join connections" obj=join id=22c816d91faf l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:41:44+0530 lvl=info msg="join connections" obj=join id=d8ba8f73b8da l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:44:03+0530 lvl=info msg="join connections" obj=join id=1635842a63e7 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:44:10+0530 lvl=info msg="join connections" obj=join id=4b1a9253e30a l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:44:10+0530 lvl=info msg="join connections" obj=join id=137e7775a569 l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:44:28+0530 lvl=info msg="join connections" obj=join id=396ed487b49e l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:44:34+0530 lvl=info msg="join connections" obj=join id=3a68d3014a9b l=[::1]:8080 r=80.79.7.105:2356
t=2026-05-22T00:45:22+0530 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=3108003c3015 clientid=53c37cf7e24cb28779eaae2a577987fc
t=2026-05-22T00:45:22+0530 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=f21587d4feda err="session closed"
t=2026-05-22T00:45:29+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-22T00:45:29+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-22T00:45:39+0530 lvl=info msg="join connections" obj=join id=448ad52a3c19 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:45:57+0530 lvl=info msg="join connections" obj=join id=1ddf7e894147 l=[::1]:8080 r=80.79.7.105:17262
t=2026-05-22T00:48:00+0530 lvl=info msg="join connections" obj=join id=3b5367f57b33 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:48:15+0530 lvl=info msg="join connections" obj=join id=a091f4aaa34c l=[::1]:8080 r=80.79.7.105:17262
t=2026-05-22T00:48:26+0530 lvl=info msg="join connections" obj=join id=bffca02ba3ac l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:48:42+0530 lvl=info msg="join connections" obj=join id=a3233ae0415e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:49:55+0530 lvl=info msg="join connections" obj=join id=76618fe97fbd l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:52:09+0530 lvl=info msg="join connections" obj=join id=fe0c6acef890 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:52:15+0530 lvl=info msg="join connections" obj=join id=ef5464b04cf9 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:54:01+0530 lvl=info msg="join connections" obj=join id=cc0e3b3c3b06 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:54:12+0530 lvl=info msg="join connections" obj=join id=30fa7747ce9b l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:55:23+0530 lvl=info msg="join connections" obj=join id=e87963dd62e5 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:56:31+0530 lvl=info msg="join connections" obj=join id=d33c88bee716 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:56:31+0530 lvl=info msg="join connections" obj=join id=4a5418c0a273 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:58:33+0530 lvl=info msg="join connections" obj=join id=1b6e1c327308 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T00:59:39+0530 lvl=info msg="join connections" obj=join id=188af115ad39 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:02:35+0530 lvl=info msg="join connections" obj=join id=b0700f75e099 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:06:15+0530 lvl=info msg="join connections" obj=join id=a7bb630a3cfe l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:08:43+0530 lvl=info msg="join connections" obj=join id=2a4ebcc484d7 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:09:46+0530 lvl=info msg="join connections" obj=join id=018f77bad5ac l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:10:33+0530 lvl=info msg="join connections" obj=join id=295c1b6eaf1d l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:56714
t=2026-05-22T01:10:35+0530 lvl=info msg="join connections" obj=join id=1cc7eb2b199e l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:56714
t=2026-05-22T01:11:52+0530 lvl=info msg="join connections" obj=join id=aa70c417f416 l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:39388
